OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10306,ROMEY,1,16-09-1996,1996-10-14 00:00:00.000,1996-09-23 00:00:00.000,3,7.56,Romero y tomillo,"Gran Vía, 1",MADRID,,28001,Spain
10307,LONEP,2,09/17/1996,1996-10-15 00:00:00.000,1996-09-25 00:00:00.000,2,0.56,Lonesome  Pine  Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
10308,ANATR,7,1996-09-18 00:00:00.000,10/16/1996,09/24/1996,3,1.61,Ana Trujillo Emparedados y helados,Avda.  de  la  Constitución  2222,México D.F.,,05021,Mexico
10309,HUNGO,3,1996-09-19 00:00:00.000,17.10.1996,1996/10/23,1,47.3,  Hungry Owl All-Night Grocers  ,  8 Johnstown Road  ,Cork,Co. Cork,,Ireland
10310,THEBI,8,1996/09/20,1996-10-18 00:00:00.000,1996-09-27 00:00:00.000,2,17.52,The  Big  Cheese,89 JEFFERSON WAY SUITE 2,portland,OR,97201,USA
10311,DUMON,1,20.09.1996,1996/10/04,1996-09-26 00:00:00.000,3,24.69,  Du monde entier  ,"67,  RUE  DES  CINQUANTE  OTAGES",Nantes,,44000,France
10312,WANDK,2,1996/09/23,10/21/1996,03.10.1996,2,40.26,Die Wandernde Kuh,Adenauerallee 900,STUTTGART,,70563,Germany
10313,QUICK,2,1996-09-24 00:00:00,1996/10/22,1996-10-04 00:00:00.000,2,1.96,QUICK-STOP,Taucherstraße  10,Cunewalde,,01307,Germany
10314,RATTC,1,1996-09-25 00:00:00,23-10-1996,1996-10-04 00:00:00.000,2,74.16,rattlesnake canyon grocery,  2817 milton dr.  ,Albuquerque,NM,87110,USA
10315,ISLAT,4,26-09-1996,10/24/1996,1996-10-03 00:00:00,2,41.76,ISLAND TRADING,Garden House Crowther Way,cowes,Isle of Wight,PO31 7PJ,UK
10316,RATTC,1,1996-09-27 00:00:00.000,25-10-1996,nan,3,150.15,  Rattlesnake Canyon Grocery  ,2817 MILTON DR.,Albuquerque,NM,87110,USA
10317,LONEP,6,1996-09-30 00:00:00,1996-10-28 00:00:00.000,10/10/1996,1,12.69,LONESOME  PINE  RESTAURANT,89 Chiaroscuro Rd.,Portland,OR,97219,USA
10318,ISLAT,8,01.10.1996,1996/10/29,1996-10-04 00:00:00.000,2,4.73,Island  Trading,Garden  House  Crowther  Way,Cowes,Isle of Wight,PO31 7PJ,UK
10319,TORTU,7,10/02/1996,1996-10-30 00:00:00,1996-10-11 00:00:00.000,3,64.5,Tortuga Restaurante,Avda.  Azteca  123,México  D.F.,,05033,Mexico
10320,WARTH,5,1996-10-03 00:00:00,10/17/1996,18.10.1996,3,34.57,wartian herkku,Torikatu 38,  oulu  ,,90110,Finland
10321,ISLAT,3,1996-10-03 00:00:00.000,1996/10/31,1996/10/11,2,3.43,Island Trading,GARDEN HOUSE CROWTHER WAY,Cowes,Isle of Wight,PO31 7PJ,UK
10322,PERIC,7,04-10-1996,11/01/1996,23-10-1996,3,0.4,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,MÉXICO D.F.,,05033,Mexico
10323,KOENE,4,07-10-1996,1996-11-04 00:00:00.000,1996-10-14 00:00:00,1,4.88,KÖNIGLICH ESSEN,  Maubelstr. 90  ,Brandenburg,,14776,Germany
10324,SAVEA,9,1996-10-08 00:00:00.000,1996-11-05 00:00:00.000,10.10.1996,1,214.27,  Save-a-lot Markets  ,187  Suffolk  Ln.,Boise,ID,83720,USA
10325,KOENE,1,1996-10-09 00:00:00.000,23-10-1996,1996/10/14,3,64.86,Königlich Essen,Maubelstr. 90,  BRANDENBURG  ,,14776,Germany
10326,BOLID,4,1996/10/10,1996-11-07 00:00:00.000,1996-10-14 00:00:00.000,2,77.92,Bólido Comidas preparadas,"c/ araquil, 67",madrid,,28023,Spain
10327,FOLKO,2,1996-10-11 00:00:00,1996-11-08 00:00:00.000,1996-10-14 00:00:00,1,63.36,Folk och fä HB,Åkergatan 24,bräcke,,S-844 67,Sweden
10328,FURIB,4,1996-10-14 00:00:00,1996-11-11 00:00:00,1996-10-17 00:00:00.000,3,87.03,Furia  Bacalhau  e  Frutos  do  Mar,JARDIM DAS ROSAS N. 32,Lisboa,,1675,Portugal
10329,SPLIR,4,1996-10-15 00:00:00.000,1996-11-26 00:00:00.000,10/23/1996,2,191.67,  Split Rail Beer & Ale  ,P.O. Box 555,LANDER,WY,82520,USA
10330,LILAS,3,16.10.1996,1996-11-13 00:00:00,1996-10-28 00:00:00,1,12.75,LILA-Supermercado,  Carrera 52 con Ave. Bolívar #65-98 Llano Largo  ,  Barquisimeto  ,Lara,3508,Venezuela
10331,BONAP,9,1996-10-16 00:00:00.000,1996-11-27 00:00:00.000,21.10.1996,1,10.19,Bon  app',"12, rue des Bouchers",Marseille,,13008,France
10332,MEREP,3,1996-10-17 00:00:00.000,1996-11-28 00:00:00,1996-10-21 00:00:00,2,52.84,  mère paillarde  ,43 RUE ST. LAURENT,Montréal,Québec,H1J 1C3,Canada
10333,WARTH,5,1996/10/18,15.11.1996,25.10.1996,3,0.59,Wartian Herkku,Torikatu 38,oulu,,90110,Finland
10334,VICTE,8,1996-10-21 00:00:00,1996-11-18 00:00:00.000,1996-10-28 00:00:00.000,2,8.56,Victuailles en stock,"  2, RUE DU COMMERCE  ",Lyon,,69004,France
10335,HUNGO,7,1996-10-22 00:00:00.000,1996-11-19 00:00:00,1996-10-24 00:00:00,2,42.11,  Hungry Owl All-Night Grocers  ,8 Johnstown Road,Cork,Co. Cork,,Ireland
10336,PRINI,7,1996-10-23 00:00:00.000,20-11-1996,1996/10/25,2,15.51,  Princesa Isabel Vinhos  ,Estrada  da  saúde  n.  58,  LISBOA  ,,1756,Portugal
10337,FRANK,4,1996-10-24 00:00:00.000,1996/11/21,1996-10-29 00:00:00.000,3,108.26,FRANKENVERSAND,Berliner  Platz  43,München,,80805,Germany
10338,OLDWO,4,1996-10-25 00:00:00.000,1996-11-22 00:00:00.000,29.10.1996,3,84.21,Old World Delicatessen,2743 BERING ST.,  Anchorage  ,AK,99508,USA
10339,MEREP,2,1996-10-28 00:00:00.000,1996-11-25 00:00:00.000,04.11.1996,2,15.66,Mère Paillarde,  43 rue St. Laurent  ,Montréal,Québec,H1J 1C3,Canada
10340,BONAP,1,1996/10/29,1996-11-26 00:00:00.000,1996-11-08 00:00:00.000,3,166.31,Bon app',"12, rue des Bouchers",Marseille,,13008,France
10341,SIMOB,7,10/29/1996,26-11-1996,1996-11-05 00:00:00.000,3,26.78,  simons bistro  ,  vinbæltet 34  ,Kobenhavn,,1734,Denmark
10342,FRANK,4,30.10.1996,11/13/1996,1996-11-04 00:00:00.000,2,54.83,  Frankenversand  ,  Berliner Platz 43  ,München,,80805,Germany
10343,LEHMS,4,10/31/1996,1996-11-28 00:00:00.000,06-11-1996,1,110.37,Lehmanns Marktstand,Magazinweg  7,  Frankfurt a.M.  ,,60528,Germany
10344,WHITC,4,1996/11/01,11/29/1996,05.11.1996,2,23.29,White Clover Markets,1029 - 12TH AVE. S.,  Seattle  ,WA,98124,USA
10345,QUICK,2,04.11.1996,1996-12-02 00:00:00.000,1996-11-11 00:00:00.000,2,249.06,quick-stop,Taucherstraße 10,Cunewalde,,01307,Germany
10346,RATTC,3,1996/11/05,1996-12-17 00:00:00.000,1996-11-08 00:00:00,3,142.08,Rattlesnake Canyon Grocery,2817 milton dr.,Albuquerque,NM,87110,USA
10347,FAMIA,4,11/06/1996,1996-12-04 00:00:00.000,08.11.1996,3,3.1,Familia Arquibaldo,"rua orós, 92",SAO PAULO,SP,05442-030,Brazil
10348,WANDK,4,1996-11-07 00:00:00.000,1996-12-05 00:00:00,1996-11-15 00:00:00.000,2,0.78,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
10349,SPLIR,7,08-11-1996,1996-12-06 00:00:00.000,1996-11-15 00:00:00.000,1,8.63,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10350,LAMAI,6,1996/11/11,1996-12-09 00:00:00.000,12/03/1996,2,64.19,La maison d'Asie,1 rue alsace-lorraine,Toulouse,,31000,France
10351,ERNSH,1,1996-11-11 00:00:00.000,1996-12-09 00:00:00.000,1996-11-20 00:00:00.000,1,162.33,ERNST  HANDEL,Kirchgasse 6,Graz,,8010,Austria
10352,FURIB,3,11/12/1996,26.11.1996,nan,3,1.3,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal
10353,PICCO,7,13-11-1996,1996-12-11 00:00:00.000,25.11.1996,3,360.63,Piccolo  und  mehr,Geislweg 14,SALZBURG,,5020,Austria
10354,PERIC,8,14-11-1996,1996-12-12 00:00:00.000,1996-11-20 00:00:00.000,3,53.8,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,méxico  d.f.,,05033,Mexico
10355,AROUT,6,15-11-1996,13-12-1996,1996-11-20 00:00:00.000,1,41.95,Around the Horn,brook  farm  stratford  st.  mary,  Colchester  ,Essex,CO7 6JX,UK
10356,WANDK,6,1996-11-18 00:00:00.000,16-12-1996,27.11.1996,2,36.71,  Die Wandernde Kuh  ,Adenauerallee 900,Stuttgart,,70563,Germany
10357,LILAS,1,1996-11-19 00:00:00.000,17-12-1996,1996-12-02 00:00:00.000,3,34.88,LILA-Supermercado,CARRERA 52 CON AVE. BOLÍVAR #65-98 LLANO LARGO,Barquisimeto,Lara,3508,Venezuela
10358,LAMAI,5,1996-11-20 00:00:00.000,1996-12-18 00:00:00.000,1996-11-27 00:00:00.000,1,19.64,la maison d'asie,1 rue Alsace-Lorraine,toulouse,,31000,France
10359,SEVES,5,1996-11-21 00:00:00,19-12-1996,1996-11-26 00:00:00.000,3,288.43,SEVEN SEAS IMPORTS,90 Wadhurst Rd.,  London  ,,OX15 4NB,UK
10360,BLONP,4,22.11.1996,1996-12-20 00:00:00.000,1996-12-02 00:00:00.000,3,131.7,Blondel père et fils,"24, place Kléber",  Strasbourg  ,,67000,France
10361,QUICK,1,1996-11-22 00:00:00.000,1996-12-20 00:00:00,03.12.1996,2,183.17,QUICK-Stop,Taucherstraße 10,  Cunewalde  ,,01307,Germany
10362,BONAP,3,25.11.1996,1996-12-23 00:00:00.000,1996-11-28 00:00:00.000,1,96.04,Bon app',"12, rue des Bouchers",Marseille,,13008,France
10363,DRACD,4,1996-11-26 00:00:00.000,1996-12-24 00:00:00.000,1996-12-04 00:00:00.000,3,30.54,drachenblut delikatessen,  walserweg 21  ,AACHEN,,52066,Germany
10364,EASTC,1,1996-11-26 00:00:00.000,1997-01-07 00:00:00.000,1996-12-04 00:00:00.000,1,71.97,EASTERN CONNECTION,35 king george,london,,WX3 6FW,UK
10365,ANTON,3,11/27/1996,1996-12-25 00:00:00.000,02-12-1996,2,22.0,  Antonio Moreno Taquería  ,Mataderos  2312,  México D.F.  ,,05023,Mexico
10366,GALED,8,1996/11/28,1997-01-09 00:00:00.000,1996-12-30 00:00:00.000,2,10.14,Galería del gastronómo,"Rambla  de  Cataluña,  23",  Barcelona  ,,8022,Spain
10367,VAFFE,7,11/28/1996,26-12-1996,1996-12-02 00:00:00.000,3,13.55,Vaffeljernet,  SMAGSLOGET 45  ,Århus,,8200,Denmark
10368,ERNSH,2,1996-11-29 00:00:00.000,1996-12-27 00:00:00,1996/12/02,2,101.95,Ernst  Handel,Kirchgasse  6,Graz,,8010,Austria
10369,SPLIR,8,1996-12-02 00:00:00.000,1996-12-30 00:00:00.000,1996-12-09 00:00:00.000,2,195.68,  Split Rail Beer & Ale  ,  P.O. Box 555  ,  Lander  ,WY,82520,USA
10370,CHOPS,6,1996/12/03,1996-12-31 00:00:00.000,1996-12-27 00:00:00.000,2,1.17,chop-suey  chinese,  hauptstr. 31  ,Bern,,3012,Switzerland
10371,LAMAI,1,1996-12-03 00:00:00,1996-12-31 00:00:00.000,1996-12-24 00:00:00.000,1,0.45,LA MAISON D'ASIE,  1 rue Alsace-Lorraine  ,Toulouse,,31000,France
10372,QUEEN,5,12/04/1996,01-01-1997,1996-12-09 00:00:00.000,2,890.78,Queen  Cozinha,"Alameda dos Canàrios, 891",SAO PAULO,SP,05487-020,Brazil
10373,HUNGO,4,1996-12-05 00:00:00.000,1997-01-02 00:00:00.000,1996-12-11 00:00:00.000,3,124.12,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10374,WOLZA,1,1996/12/05,1997-01-02 00:00:00.000,1996-12-09 00:00:00.000,3,3.94,wolski zajazd,ul. Filtrowa 68,  warszawa  ,,01-012,Poland
10375,HUNGC,3,1996-12-06 00:00:00.000,1997-01-03 00:00:00.000,1996-12-09 00:00:00.000,2,20.12,HUNGRY COYOTE IMPORT STORE,  City Center Plaza 516 Main St.  ,ELGIN,OR,97827,USA
10376,MEREP,1,1996-12-09 00:00:00.000,1997-01-06 00:00:00,1996-12-13 00:00:00.000,2,20.39,  Mère Paillarde  ,43  rue  St.  Laurent,montréal,Québec,H1J 1C3,Canada
10377,SEVES,1,09.12.1996,1997-01-06 00:00:00,1996-12-13 00:00:00.000,3,22.21,  Seven Seas Imports  ,90  wadhurst  rd.,London,,OX15 4NB,UK
10378,FOLKO,5,1996-12-10 00:00:00.000,1997/01/07,1996/12/19,3,5.44,folk och fä hb,  åkergatan 24  ,  Bräcke  ,,S-844 67,Sweden
10379,QUEDE,2,1996-12-11 00:00:00.000,1997-01-08 00:00:00.000,1996-12-13 00:00:00.000,1,45.03,Que Delícia,"Rua da Panificadora, 12",rio de janeiro,RJ,,Brazil
10380,HUNGO,8,12.12.1996,1997-01-09 00:00:00.000,16-01-1997,3,35.03,Hungry Owl All-Night Grocers,  8 Johnstown Road  ,Cork,Co. Cork,,Ireland
10381,LILAS,3,1996-12-12 00:00:00.000,1997/01/09,1996/12/13,3,7.99,LILA-Supermercado,  carrera 52 con ave. bolívar #65-98 llano largo  ,barquisimeto,Lara,3508,Venezuela
10382,ERNSH,4,1996-12-13 00:00:00,10.01.1997,16-12-1996,1,94.77,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10383,AROUT,8,1996-12-16 00:00:00.000,1997-01-13 00:00:00,1996-12-18 00:00:00.000,3,34.24,  Around the Horn  ,Brook Farm Stratford St. Mary,  COLCHESTER  ,Essex,CO7 6JX,UK
10384,BERGS,3,1996-12-16 00:00:00.000,1997-01-13 00:00:00.000,1996-12-20 00:00:00.000,3,168.64,Berglunds  snabbköp,  Berguvsvägen  8  ,Luleå,,S-958 22,Sweden
10385,SPLIR,1,12/17/1996,1997-01-14 00:00:00.000,1996/12/23,2,30.96,split  rail  beer  &  ale,P.O. Box 555,Lander,WY,82520,USA
10386,FAMIA,9,1996-12-18 00:00:00.000,01.01.1997,1996-12-25 00:00:00.000,3,13.99,Familia Arquibaldo,"RUA ORÓS, 92",Sao  Paulo,SP,05442-030,Brazil
10387,SANTG,1,18-12-1996,1997/01/15,20.12.1996,2,93.63,Santé Gourmet,Erling Skakkes gate 78,  Stavern  ,,4110,Norway
10388,SEVES,2,1996-12-19 00:00:00,16.01.1997,1996-12-20 00:00:00,1,34.86,  Seven Seas Imports  ,90  Wadhurst  Rd.,LONDON,,OX15 4NB,UK
10389,BOTTM,4,1996-12-20 00:00:00.000,1997-01-17 00:00:00.000,24.12.1996,2,47.42,Bottom-Dollar Markets,23  Tsawassen  Blvd.,tsawassen,BC,T2F 8M4,Canada
10390,ERNSH,6,1996-12-23 00:00:00.000,1997/01/20,1996-12-26 00:00:00.000,1,126.38,  ERNST HANDEL  ,kirchgasse 6,Graz,,8010,Austria
10391,DRACD,3,1996-12-23 00:00:00.000,1997-01-20 00:00:00.000,1996-12-31 00:00:00.000,3,5.45,Drachenblut Delikatessen,Walserweg  21,Aachen,,52066,Germany
10392,PICCO,2,12/24/1996,21-01-1997,1997-01-01 00:00:00.000,3,122.46,PICCOLO UND MEHR,  Geislweg 14  ,  Salzburg  ,,5020,Austria
10393,SAVEA,1,12/25/1996,1997-01-22 00:00:00.000,01/03/1997,3,126.56,Save-a-lot Markets,187 suffolk ln.,Boise,ID,83720,USA
10394,HUNGC,1,1996-12-25 00:00:00.000,22-01-1997,1997-01-03 00:00:00.000,3,30.34,Hungry Coyote Import Store,CITY CENTER PLAZA 516 MAIN ST.,  ELGIN  ,OR,97827,USA
10395,HILAA,6,1997-01-03 00:00:00,1997/01/23,12/26/1996,1,184.41,HILARION-ABASTOS,  Carrera 22 con Ave. Carlos Soublette #8-35  ,San  Cristóbal,Táchira,5022,Venezuela
10396,FRANK,1,1996/12/27,01/10/1997,01/06/1997,3,135.35,  Frankenversand  ,  Berliner Platz 43  ,  München  ,,80805,Germany
