OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,OrderYear,OrderMonth,OrderDayOfWeek,ShippingDurationDays,Delivery_Status
10304,TORTU,1,1996-12-09,1996-10-10,1996-09-17,2,63.79,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Unknown,05033,Mexico,1996,12,Monday,-83.0,On-Time
10305,OLDWO,8,1996-09-13,1996-10-11,1996-10-09,3,257.62,Old World Delicatessen,2743 Bering St.,Anchorage,Ak,99508,Usa,1996,9,Friday,26.0,On-Time
10306,ROMEY,1,1996-09-16,1996-10-14,1996-09-23,3,7.56,Romero Y Tomillo,"Gran Vía, 1",Madrid,Unknown,28001,Spain,1996,9,Monday,7.0,On-Time
10307,LONEP,2,1996-09-17,1996-10-15,1996-09-25,2,0.56,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,Or,97219,Usa,1996,9,Tuesday,8.0,On-Time
10308,ANATR,7,1996-09-18,1996-10-16,1996-09-24,3,1.61,Ana Trujillo Emparedados Y Helados,Avda. De La Constitución 2222,México D.F.,Unknown,05021,Mexico,1996,9,Wednesday,6.0,On-Time
10309,HUNGO,3,1996-09-19,1996-10-17,1996-10-23,1,47.3,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,Unknown,Ireland,1996,9,Thursday,34.0,Delayed
10310,THEBI,8,1996-09-20,1996-10-18,1996-09-27,2,17.52,The Big Cheese,89 Jefferson Way Suite 2,Portland,Or,97201,Usa,1996,9,Friday,7.0,On-Time
10311,DUMON,1,1996-09-20,1996-10-04,1996-09-26,3,24.69,Du Monde Entier,"67, Rue Des Cinquante Otages",Nantes,Unknown,44000,France,1996,9,Friday,6.0,On-Time
10312,WANDK,2,1996-09-23,1996-10-21,1996-03-10,2,40.26,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Unknown,70563,Germany,1996,9,Monday,-197.0,On-Time
10313,QUICK,2,1996-09-24,1996-10-22,1996-10-04,2,1.96,Quick-Stop,Taucherstraße 10,Cunewalde,Unknown,01307,Germany,1996,9,Tuesday,10.0,On-Time
10314,RATTC,1,1996-09-25,1996-10-23,1996-10-04,2,74.16,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,Nm,87110,Usa,1996,9,Wednesday,9.0,On-Time
10315,ISLAT,4,1996-09-26,1996-10-24,1996-10-03,2,41.76,Island Trading,Garden House Crowther Way,Cowes,Isle Of Wight,Po31 7Pj,Uk,1996,9,Thursday,7.0,On-Time
10316,RATTC,1,1996-09-27,1996-10-25,,3,150.15,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,Nm,87110,Usa,1996,9,Friday,,On-Time
10317,LONEP,6,1996-09-30,1996-10-28,1996-10-10,1,12.69,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,Or,97219,Usa,1996,9,Monday,10.0,On-Time
10318,ISLAT,8,1996-01-10,1996-10-29,1996-10-04,2,4.73,Island Trading,Garden House Crowther Way,Cowes,Isle Of Wight,Po31 7Pj,Uk,1996,1,Wednesday,268.0,On-Time
10319,TORTU,7,1996-10-02,1996-10-30,1996-10-11,3,64.5,Tortuga Restaurante,Avda. Azteca 123,México D.F.,Unknown,05033,Mexico,1996,10,Wednesday,9.0,On-Time
10320,WARTH,5,1996-10-03,1996-10-17,1996-10-18,3,34.57,Wartian Herkku,Torikatu 38,Oulu,Unknown,90110,Finland,1996,10,Thursday,15.0,Delayed
10321,ISLAT,3,1996-10-03,1996-10-31,1996-10-11,2,3.43,Island Trading,Garden House Crowther Way,Cowes,Isle Of Wight,Po31 7Pj,Uk,1996,10,Thursday,8.0,On-Time
10322,PERIC,7,1996-04-10,1996-11-01,1996-10-23,3,0.4,Pericles Comidas Clásicas,Calle Dr. Jorge Cash 321,México D.F.,Unknown,05033,Mexico,1996,4,Wednesday,196.0,On-Time
10323,KOENE,4,1996-07-10,1996-11-04,1996-10-14,1,4.88,Königlich Essen,Maubelstr. 90,Brandenburg,Unknown,14776,Germany,1996,7,Wednesday,96.0,On-Time
10324,SAVEA,9,1996-10-08,1996-11-05,1996-10-10,1,214.27,Save-A-Lot Markets,187 Suffolk Ln.,Boise,Id,83720,Usa,1996,10,Tuesday,2.0,On-Time
10325,KOENE,1,1996-10-09,1996-10-23,1996-10-14,3,64.86,Königlich Essen,Maubelstr. 90,Brandenburg,Unknown,14776,Germany,1996,10,Wednesday,5.0,On-Time
10326,BOLID,4,1996-10-10,1996-11-07,1996-10-14,2,77.92,Bólido Comidas Preparadas,"C/ Araquil, 67",Madrid,Unknown,28023,Spain,1996,10,Thursday,4.0,On-Time
10327,FOLKO,2,1996-10-11,1996-11-08,1996-10-14,1,63.36,Folk Och Fä Hb,Åkergatan 24,Bräcke,Unknown,S-844 67,Sweden,1996,10,Friday,3.0,On-Time
10328,FURIB,4,1996-10-14,1996-11-11,1996-10-17,3,87.03,Furia Bacalhau E Frutos Do Mar,Jardim Das Rosas N. 32,Lisboa,Unknown,1675,Portugal,1996,10,Monday,3.0,On-Time
10329,SPLIR,4,1996-10-15,1996-11-26,1996-10-23,2,191.67,Split Rail Beer & Ale,P.O. Box 555,Lander,Wy,82520,Usa,1996,10,Tuesday,8.0,On-Time
10330,LILAS,3,1996-10-16,1996-11-13,1996-10-28,1,12.75,Lila-Supermercado,Carrera 52 Con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,1996,10,Wednesday,12.0,On-Time
10331,BONAP,9,1996-10-16,1996-11-27,1996-10-21,1,10.19,Bon App',"12, Rue Des Bouchers",Marseille,Unknown,13008,France,1996,10,Wednesday,5.0,On-Time
10332,MEREP,3,1996-10-17,1996-11-28,1996-10-21,2,52.84,Mère Paillarde,43 Rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,1996,10,Thursday,4.0,On-Time
10333,WARTH,5,1996-10-18,1996-11-15,1996-10-25,3,0.59,Wartian Herkku,Torikatu 38,Oulu,Unknown,90110,Finland,1996,10,Friday,7.0,On-Time
10334,VICTE,8,1996-10-21,1996-11-18,1996-10-28,2,8.56,Victuailles En Stock,"2, Rue Du Commerce",Lyon,Unknown,69004,France,1996,10,Monday,7.0,On-Time
10335,HUNGO,7,1996-10-22,1996-11-19,1996-10-24,2,42.11,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,Unknown,Ireland,1996,10,Tuesday,2.0,On-Time
10336,PRINI,7,1996-10-23,1996-11-20,1996-10-25,2,15.51,Princesa Isabel Vinhos,Estrada Da Saúde N. 58,Lisboa,Unknown,1756,Portugal,1996,10,Wednesday,2.0,On-Time
10337,FRANK,4,1996-10-24,1996-11-21,1996-10-29,3,108.26,Frankenversand,Berliner Platz 43,München,Unknown,80805,Germany,1996,10,Thursday,5.0,On-Time
10338,OLDWO,4,1996-10-25,1996-11-22,1996-10-29,3,84.21,Old World Delicatessen,2743 Bering St.,Anchorage,Ak,99508,Usa,1996,10,Friday,4.0,On-Time
10339,MEREP,2,1996-10-28,1996-11-25,1996-04-11,2,15.66,Mère Paillarde,43 Rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,1996,10,Monday,-200.0,On-Time
10340,BONAP,1,1996-10-29,1996-11-26,1996-11-08,3,166.31,Bon App',"12, Rue Des Bouchers",Marseille,Unknown,13008,France,1996,10,Tuesday,10.0,On-Time
10341,SIMOB,7,1996-10-29,1996-11-26,1996-11-05,3,26.78,Simons Bistro,Vinbæltet 34,Kobenhavn,Unknown,1734,Denmark,1996,10,Tuesday,7.0,On-Time
10342,FRANK,4,1996-10-30,1996-11-13,1996-11-04,2,54.83,Frankenversand,Berliner Platz 43,München,Unknown,80805,Germany,1996,10,Wednesday,5.0,On-Time
10343,LEHMS,4,1996-10-31,1996-11-28,1996-06-11,1,110.37,Lehmanns Marktstand,Magazinweg 7,Frankfurt A.M.,Unknown,60528,Germany,1996,10,Thursday,-142.0,On-Time
10344,WHITC,4,1996-11-01,1996-11-29,1996-05-11,2,23.29,White Clover Markets,1029 - 12Th Ave. S.,Seattle,Wa,98124,Usa,1996,11,Friday,-174.0,On-Time
10345,QUICK,2,1996-04-11,1996-12-02,1996-11-11,2,249.06,Quick-Stop,Taucherstraße 10,Cunewalde,Unknown,01307,Germany,1996,4,Thursday,214.0,On-Time
10346,RATTC,3,1996-11-05,1996-12-17,1996-11-08,3,142.08,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,Nm,87110,Usa,1996,11,Tuesday,3.0,On-Time
10347,FAMIA,4,1996-11-06,1996-12-04,1996-08-11,3,3.1,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,Sp,05442-030,Brazil,1996,11,Wednesday,-87.0,On-Time
10348,WANDK,4,1996-11-07,1996-12-05,1996-11-15,2,0.78,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Unknown,70563,Germany,1996,11,Thursday,8.0,On-Time
10349,SPLIR,7,1996-08-11,1996-12-06,1996-11-15,1,8.63,Split Rail Beer & Ale,P.O. Box 555,Lander,Wy,82520,Usa,1996,8,Sunday,96.0,On-Time
10350,LAMAI,6,1996-11-11,1996-12-09,1996-12-03,2,64.19,La Maison D'Asie,1 Rue Alsace-Lorraine,Toulouse,Unknown,31000,France,1996,11,Monday,22.0,On-Time
10351,ERNSH,1,1996-11-11,1996-12-09,1996-11-20,1,162.33,Ernst Handel,Kirchgasse 6,Graz,Unknown,8010,Austria,1996,11,Monday,9.0,On-Time
10352,FURIB,3,1996-11-12,1996-11-26,,3,1.3,Furia Bacalhau E Frutos Do Mar,Jardim Das Rosas N. 32,Lisboa,Unknown,1675,Portugal,1996,11,Tuesday,,On-Time
10353,PICCO,7,1996-11-13,1996-12-11,1996-11-25,3,360.63,Piccolo Und Mehr,Geislweg 14,Salzburg,Unknown,5020,Austria,1996,11,Wednesday,12.0,On-Time
10354,PERIC,8,1996-11-14,1996-12-12,1996-11-20,3,53.8,Pericles Comidas Clásicas,Calle Dr. Jorge Cash 321,México D.F.,Unknown,05033,Mexico,1996,11,Thursday,6.0,On-Time
10355,AROUT,6,1996-11-15,1996-12-13,1996-11-20,1,41.95,Around The Horn,Brook Farm Stratford St. Mary,Colchester,Essex,Co7 6Jx,Uk,1996,11,Friday,5.0,On-Time
10356,WANDK,6,1996-11-18,1996-12-16,1996-11-27,2,36.71,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Unknown,70563,Germany,1996,11,Monday,9.0,On-Time
10357,LILAS,1,1996-11-19,1996-12-17,1996-12-02,3,34.88,Lila-Supermercado,Carrera 52 Con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,1996,11,Tuesday,13.0,On-Time
10358,LAMAI,5,1996-11-20,1996-12-18,1996-11-27,1,19.64,La Maison D'Asie,1 Rue Alsace-Lorraine,Toulouse,Unknown,31000,France,1996,11,Wednesday,7.0,On-Time
10359,SEVES,5,1996-11-21,1996-12-19,1996-11-26,3,288.43,Seven Seas Imports,90 Wadhurst Rd.,London,Unknown,Ox15 4Nb,Uk,1996,11,Thursday,5.0,On-Time
10360,BLONP,4,1996-11-22,1996-12-20,1996-12-02,3,131.7,Blondel Père Et Fils,"24, Place Kléber",Strasbourg,Unknown,67000,France,1996,11,Friday,10.0,On-Time
10361,QUICK,1,1996-11-22,1996-12-20,1996-03-12,2,183.17,Quick-Stop,Taucherstraße 10,Cunewalde,Unknown,01307,Germany,1996,11,Friday,-255.0,On-Time
10362,BONAP,3,1996-11-25,1996-12-23,1996-11-28,1,96.04,Bon App',"12, Rue Des Bouchers",Marseille,Unknown,13008,France,1996,11,Monday,3.0,On-Time
10363,DRACD,4,1996-11-26,1996-12-24,1996-12-04,3,30.54,Drachenblut Delikatessen,Walserweg 21,Aachen,Unknown,52066,Germany,1996,11,Tuesday,8.0,On-Time
10364,EASTC,1,1996-11-26,1997-01-07,1996-12-04,1,71.97,Eastern Connection,35 King George,London,Unknown,Wx3 6Fw,Uk,1996,11,Tuesday,8.0,On-Time
10365,ANTON,3,1996-11-27,1996-12-25,1996-02-12,2,22.0,Antonio Moreno Taquería,Mataderos 2312,México D.F.,Unknown,05023,Mexico,1996,11,Wednesday,-289.0,On-Time
10366,GALED,8,1996-11-28,1997-01-09,1996-12-30,2,10.14,Galería Del Gastronómo,"Rambla De Cataluña, 23",Barcelona,Unknown,8022,Spain,1996,11,Thursday,32.0,On-Time
10367,VAFFE,7,1996-11-28,1996-12-26,1996-12-02,3,13.55,Vaffeljernet,Smagsloget 45,Århus,Unknown,8200,Denmark,1996,11,Thursday,4.0,On-Time
10368,ERNSH,2,1996-11-29,1996-12-27,1996-12-02,2,101.95,Ernst Handel,Kirchgasse 6,Graz,Unknown,8010,Austria,1996,11,Friday,3.0,On-Time
10369,SPLIR,8,1996-12-02,1996-12-30,1996-12-09,2,195.68,Split Rail Beer & Ale,P.O. Box 555,Lander,Wy,82520,Usa,1996,12,Monday,7.0,On-Time
10370,CHOPS,6,1996-12-03,1996-12-31,1996-12-27,2,1.17,Chop-Suey Chinese,Hauptstr. 31,Bern,Unknown,3012,Switzerland,1996,12,Tuesday,24.0,On-Time
10371,LAMAI,1,1996-12-03,1996-12-31,1996-12-24,1,0.45,La Maison D'Asie,1 Rue Alsace-Lorraine,Toulouse,Unknown,31000,France,1996,12,Tuesday,21.0,On-Time
10372,QUEEN,5,1996-12-04,1997-01-01,1996-12-09,2,890.78,Queen Cozinha,"Alameda Dos Canàrios, 891",Sao Paulo,Sp,05487-020,Brazil,1996,12,Wednesday,5.0,On-Time
10373,HUNGO,4,1996-12-05,1997-01-02,1996-12-11,3,124.12,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,Unknown,Ireland,1996,12,Thursday,6.0,On-Time
10374,WOLZA,1,1996-12-05,1997-01-02,1996-12-09,3,3.94,Wolski Zajazd,Ul. Filtrowa 68,Warszawa,Unknown,01-012,Poland,1996,12,Thursday,4.0,On-Time
10375,HUNGC,3,1996-12-06,1997-01-03,1996-12-09,2,20.12,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,Or,97827,Usa,1996,12,Friday,3.0,On-Time
10376,MEREP,1,1996-12-09,1997-01-06,1996-12-13,2,20.39,Mère Paillarde,43 Rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,1996,12,Monday,4.0,On-Time
10377,SEVES,1,1996-09-12,1997-01-06,1996-12-13,3,22.21,Seven Seas Imports,90 Wadhurst Rd.,London,Unknown,Ox15 4Nb,Uk,1996,9,Thursday,92.0,On-Time
10378,FOLKO,5,1996-12-10,1997-01-07,1996-12-19,3,5.44,Folk Och Fä Hb,Åkergatan 24,Bräcke,Unknown,S-844 67,Sweden,1996,12,Tuesday,9.0,On-Time
10379,QUEDE,2,1996-12-11,1997-01-08,1996-12-13,1,45.03,Que Delícia,"Rua Da Panificadora, 12",Rio De Janeiro,Rj,Unknown,Brazil,1996,12,Wednesday,2.0,On-Time
10380,HUNGO,8,1996-12-12,1997-01-09,1997-01-16,3,35.03,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,Unknown,Ireland,1996,12,Thursday,35.0,Delayed
10381,LILAS,3,1996-12-12,1997-01-09,1996-12-13,3,7.99,Lila-Supermercado,Carrera 52 Con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,1996,12,Thursday,1.0,On-Time
10382,ERNSH,4,1996-12-13,1997-10-01,1996-12-16,1,94.77,Ernst Handel,Kirchgasse 6,Graz,Unknown,8010,Austria,1996,12,Friday,3.0,On-Time
10383,AROUT,8,1996-12-16,1997-01-13,1996-12-18,3,34.24,Around The Horn,Brook Farm Stratford St. Mary,Colchester,Essex,Co7 6Jx,Uk,1996,12,Monday,2.0,On-Time
10384,BERGS,3,1996-12-16,1997-01-13,1996-12-20,3,168.64,Berglunds Snabbköp,Berguvsvägen 8,Luleå,Unknown,S-958 22,Sweden,1996,12,Monday,4.0,On-Time
10385,SPLIR,1,1996-12-17,1997-01-14,1996-12-23,2,30.96,Split Rail Beer & Ale,P.O. Box 555,Lander,Wy,82520,Usa,1996,12,Tuesday,6.0,On-Time
10386,FAMIA,9,1996-12-18,1997-01-01,1996-12-25,3,13.99,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,Sp,05442-030,Brazil,1996,12,Wednesday,7.0,On-Time
